"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"phosphate"	358903424	375361728	335899744	321237152	348019040	346163488	343898592	318701472	345926528	337979904	363594464	350618400	374221312	350936160	340335968	331127680	380817888	363390048	387311168	343363040	334708864	305047808	333547072	346151968	342566400	344391872	371501504	369934432	327243456	321713248	332969888	341969248	365281344	270000576	368062848	361399840	330088096	331673568	382538688	356304960	346404352	321622272	341988032	295755328	310207616	310475168	337513760	308480768
"phosphoenolpyruvate (PEP)"	192185	67115	191592	220581	155402	145406	172436	78476	160249	132443	173985	125501	217185	252662	297217	326875	115038	127693	238879	227802	339039	370463	495261	460562	175134	245396	178845	204207	245091	214851	362194	262139	406702	136359	553231	551752	303611	240679	284019	277303	310737	273849	451273	382062	1007746	1069007	1341617	1136193
"phosphoethanolamine"	1766351	2108936	2151927	2048737	2323590	2249384	2757839	2476054	3199393	3148444	3428194	3373960	2783976	2564890	2921923	2826276	2938378	2912109	2715081	2557865	2855442	2700692	3016562	3229746	4728702	5182126	5649943	4922953	5059139	5029382	2640323	2547489	2393986	1445139	2119003	1959974	1897931	2192374	1991211	2105540	2014852	1980652	1373735	1363470	935443	1014654	1122391	1325289
"pipecolate"	NA	657495	697822	NA	201610	NA	166073	831349	NA	228360	417895	NA	802662	596986	205929	1091667	NA	835792	NA	NA	927968	NA	777665	NA	930730	226171	543209	NA	414144	629416	275302	797080	721422	NA	NA	567967	896743	620571	NA	1026910	487056	NA	1138145	373892	917454	NA	1183195	1230090
"piperidine"	1362235	1382627	301939	2554008	1489459	513147	3089735	2832570	1519233	1580204	2574540	1056470	1980324	7178200	4517919	808968	1359057	936852	1571138	641663	745190	1215209	1699182	444171	2520371	909259	983257	844374	1248156	2764769	3793459	1253960	2017990	5471499	9136300	1946072	4479879	6018655	844189	2779375	3626173	5871557	1976244	982569	4501853	4156219	6362560	805458
"proline"	284371584	384875520	359451328	244424976	228789696	253489936	340768960	336478336	319322464	217000432	307124736	251501792	511049536	531777504	425360608	521270208	380965344	532385888	178315392	365920192	512705760	342870144	559768256	383090912	433060448	243338448	380762016	296774272	356560736	437202656	598507456	611277184	642762240	311142848	612177920	526932896	570115328	530090624	371365120	522361568	363173984	374608608	845308096	535206944	1074949760	694867840	1016197184	1091605504
"propionylcarnitine"	20993632	22661412	20372720	20455652	15835495	18869172	20423924	18427298	18960836	18489186	15061670	17370044	31819426	35735388	28095786	32722752	22809612	32320988	16791428	19328030	35090552	29373974	36938604	30756070	25349580	21360884	20377016	16974370	21579632	22641128	30493872	36995768	42636508	19999016	43802404	43252056	35650992	32044200	30614842	32236268	31699968	30865584	59517420	46943688	83855824	62873116	90297280	86658528
"pterin"	26418	88658	49790	NA	NA	NA	34418	31828	69520	NA	23996	22553	86248	73664	NA	53041	62106	88854	40168	36509	NA	NA	103297	NA	60285	33377	60554	41351	29804	57843	65232	115328	67303	46035	NA	71547	53236	NA	49959	55669	39262	NA	153482	36979	110542	67475	67266	69807
"putrescine"	21755356	19143748	15237853	16356330	15085788	16056070	18164302	15414534	15713844	11129951	8562663	15309101	19679876	18490710	18653914	18216784	20169068	19106848	16150161	13826158	17445560	18050614	19387428	21094320	10004709	10670682	9589295	8285656	8569511	8620945	16870232	17668416	22145924	12311321	23181700	23610824	5940434	6853295	9372606	8491792	6936245	6671064	20187996	20344252	21353294	22846032	24022184	19733156
"pyridoxal"	662967	542851	312948	566367	400443	395306	541482	135910	416316	273621	711153	573143	768500	991366	1030858	1203805	777903	572741	360969	678443	766834	466554	1004453	1092806	1148873	984882	875386	582077	516165	622298	945304	1074190	1313377	393066	1487272	1391296	819116	930456	550033	992866	1214859	977086	1490913	1579672	2726559	2340553	2988368	2351656
"pyridoxal phosphate"	30430	66812	NA	NA	NA	NA	NA	NA	NA	35429	58281	NA	117088	198218	81559	168539	127911	166262	57290	55226	119387	55318	105146	77554	129775	81988	85811	35917	86474	63492	156748	190091	124944	NA	170814	197849	57938	101440	54110	92372	NA	NA	188021	117061	293150	230617	188845	292656
"pyridoxamine"	633109	662728	1112019	699718	522029	759537	899989	825097	1018302	705720	515904	770979	1207101	1119342	960545	1492855	610313	1300001	654673	817540	1561653	935354	1572945	984349	1346456	1002267	1247485	897034	1067250	1443055	1477197	1589381	1238653	887971	1309678	1573973	1856636	1616276	1562056	1911640	1069972	1331102	1622982	1164929	2363893	1360407	1968043	3083920
"pyridoxamine phosphate"	NA	NA	45414	24234	43218	43075	NA	139582	NA	NA	NA	NA	144441	119022	NA	163158	NA	243767	44903	57935	167139	132220	136252	98610	45295	59172	51275	NA	NA	140273	67627	228415	177208	NA	105338	164692	192319	130714	105945	136447	44944	106992	181059	131724	129034	239485	243702	294961
"pyridoxine (Vitamin B6)"	1725375	1383420	2916030	2798083	2569957	2428541	2521027	1253041	2699914	1935848	3852143	2762157	2751375	2566474	3378425	3996856	1970703	2646669	2295961	2474748	4205110	3703213	4804934	3224566	3466702	2939452	3058837	2112339	2250692	3034251	3013902	3556600	4250441	1595402	4728599	5436886	3317559	3040437	4244096	3398670	3745476	3686446	4185509	3608353	6241002	5703836	8569819	7113144
"pyroglutamine*"	1144759	1360752	1254188	1094066	1141659	1110990	1268791	1253356	1389495	1053608	818164	992330	1641786	1926858	1599274	1796187	1373618	2150466	NA	1492945	2037059	970820	1873116	1562986	1596581	1228191	1444256	265476	1137852	1476603	2059233	2273075	1957874	1551810	1701582	1901014	1635177	1661140	1382970	1744098	1513670	830360	2955994	2446099	3591734	2497086	3407030	3328119
"pyruvate"	218213	146773	127513	191109	124779	134134	154098	152109	156398	207999	164267	149776	320124	312190	308143	386167	252252	285068	193756	197945	264515	340082	402092	327357	309488	352720	316099	285040	289169	291450	426093	429288	617392	286881	552710	657721	375632	306885	303672	309660	292021	310475	767986	667927	988559	1170428	1238288	1057070
"ribitol"	316259	233042	196623	283601	179345	NA	380371	169447	183979	284494	223899	331164	463181	278571	NA	475734	347377	248781	254971	NA	301333	403285	372241	293244	391501	399959	379703	398492	385856	608260	437411	361615	595354	333975	661411	413111	529146	335769	404164	434326	331335	320744	672163	615434	604954	912914	682292	NA
"ribonate"	4386646	2650424	2728274	3136909	2066303	2434449	2988174	2524841	2849975	2218441	2596093	3134358	4676233	3690393	4022662	5613491	2945289	3506199	2006301	3848430	4015887	4315823	6005684	4254149	5298585	5083003	4603005	3596676	4701920	4382824	3657071	3682371	6328898	2377369	5680169	5922757	5240363	4381003	4608058	5154056	4519441	3874162	8690679	7799030	9691334	9118944	10040921	8273026
"S-1-pyrroline-5-carboxylate"	NA	255361	239182	173731	193603	113929	263318	201307	264101	219632	NA	NA	246946	322177	NA	288166	282893	309097	91501	224669	398378	NA	358842	NA	304051	109299	303789	231261	NA	213964	316386	392200	205632	233229	349991	424195	173707	289316	328380	271169	NA	NA	499282	273843	616090	497642	459610	597147
"S-adenosylhomocysteine (SAH)"	113110	96704	109219	109116	81134	127931	109459	84139	94294	117291	44660	113261	294586	273446	385369	322152	241601	299506	192206	137106	299721	241071	209172	288796	140394	117404	158386	159551	94973	187846	289339	326753	377730	152311	300784	385577	129077	114383	181020	147216	90548	133933	422880	359483	478684	445435	334707	452642
"S-adenosylmethionine (SAM)"	193321	140894	161962	159252	130165	154165	176483	NA	203880	NA	NA	NA	380715	479957	258420	561256	227491	425272	NA	173481	455253	152972	348656	295889	368737	118115	256397	NA	104189	302693	307095	524347	405834	226361	315616	409356	231830	187135	168591	224664	169081	127946	477872	273803	817370	492302	451973	771430
"S-lactoylglutathione"	1071620	145363	691511	870985	814884	566947	1181313	92745	803412	1196775	829589	766426	847803	625262	1309211	2105944	430071	387620	1115097	1234085	1711152	1686482	1912785	1798322	1432388	1720421	1340266	1581330	1761798	1046249	1622070	930835	1595626	643227	2377662	3102332	1451540	1253108	1681146	1681042	1569939	1328327	1533586	808246	3444741	3729778	3253934	3893700
"S-methylglutathione"	90296	128922	215032	57528	53843	112068	126631	114492	NA	100993	NA	101173	597535	614633	487336	777386	302557	852428	221910	291993	885676	286151	561514	468484	317049	140460	238944	154549	110059	336042	469099	673352	556821	131135	325532	537630	306891	162667	233901	301868	93267	142025	776056	470678	1252835	615582	597487	1228626
"S-nitrosoglutathione (GSNO)"	482194	1237900	694314	631736	408854	311067	645653	1210314	442153	355149	656148	453350	1931127	973393	1683878	1516684	1841665	1385314	1219094	1032065	1394662	1087373	1256560	1375677	1227892	1104844	1368661	1169164	944701	669136	1448079	1359512	1643757	NA	1388429	1745857	648189	721319	1562537	1174976	588666	336703	2059492	6746853	2804259	3184214	2731832	2091646
"salicylate"	3430330	3109885	3061475	3359916	2755127	2898053	3179750	2788574	2815675	3201198	2722358	2745667	2970827	3194877	2886380	3333173	3157424	2995328	3224588	3654076	2906693	3445064	3136628	3178905	2785904	3612226	3356471	3201440	3434907	2820967	3091483	3094185	3377499	1709374	3014150	3287954	3352377	2964821	2892229	3212933	2744612	2942136	2827406	3285168	2963856	3333554	3577871	2752861
"sedoheptulose-7-phosphate"	NA	79178	148314	63291	50661	68119	120538	125106	158938	65488	61880	75182	81306	133347	43585	193569	52387	154383	23727	71660	214407	69948	135220	66130	177621	78320	95739	43592	94461	198479	89217	125026	88564	NA	75387	136258	102514	92725	55647	136253	43329	94754	174255	76053	278757	154078	169680	347552
"serine"	8872916	9244364	11084603	8447707	11868466	11371097	10951891	8925041	11366304	12629003	16642106	8851309	10396946	12625888	10506801	16719547	12479446	14280463	10880867	9012854	13121091	10410351	14552601	11004627	12268208	6831395	12412049	9117330	12171643	10798092	11958319	11078520	8224606	8379808	17332864	17636670	11475624	9397530	12461289	12365352	9736787	9903038	14842283	9604719	19060438	17442512	15072297	20703928
"serotonin"	109615	123754	130937	100267	NA	72427	121360	91621	79122	143463	205095	141604	163984	174197	105133	NA	49402	NA	NA	126205	165559	98341	56561	NA	96848	68944	NA	45645	114051	158715	119774	115567	160558	82712	55471	NA	106385	112144	NA	NA	253606	135706	380584	217015	318686	208273	346621	274131
"spermidine"	16599118	26087478	14649919	11309609	16977288	17901938	18281648	8610652	18002324	12792128	20491628	18173256	34923132	24655948	12811144	25445812	44695136	32934954	18813678	21582524	23206192	14631681	29792220	20286702	32239648	18068974	26755246	19294888	14936967	14465228	23486934	30963016	34190848	6800260	40358256	25582168	20065404	20159116	33669892	29079536	18807812	12079320	32008144	6946455	28614860	17370762	29268100	24686228
"spermine"	2014321	2939441	1400900	1103317	2900650	2547655	1518330	454232	2118099	1551324	5162652	1928597	4890391	2214017	1403640	2127246	6554191	3617723	3945178	1956081	2636488	1574864	3119308	2892934	2835919	1427888	2274591	3677665	2005120	910301	2378575	1839648	4380473	198579	8719704	3545599	2042521	1576029	6176100	2606286	3587839	1728860	3410393	672309	3305641	2322125	5110996	2223961
"sphinganine"	343195	311967	238683	334410	348903	311951	321772	215513	224759	311926	287960	323204	174089	201700	217668	272928	222194	220259	181312	158161	194041	258428	241556	236787	194563	203343	174683	224198	301685	319864	240057	257113	344439	182127	338821	360948	286500	294450	343867	329583	302095	327309	439044	464598	439486	544632	631450	655297
"sphingomyelin (d18:1/14:0, d16:1/16:0)*"	1378569	1262040	1248301	1280708	1558986	1558942	1563918	976606	1176395	1361646	1318859	1186735	1366349	1752567	1977984	2002055	1953389	1756979	1522282	1374376	1752949	2308803	1651192	2213557	1346631	1938947	1405656	1808935	2042090	1717946	2115589	2047813	2539246	1826438	2531421	3500808	1674079	2001411	2344657	1709900	1582647	2060415	2511662	2780505	2604784	3365888	3259448	3301464
"sphingomyelin (d18:1/15:0, d16:1/17:0)*"	966956	827043	751264	955483	921303	1033088	895921	702855	725720	912448	858139	990978	762744	933322	1131395	1255147	858044	915654	1051525	776606	887458	1394437	925276	1116154	713016	1117258	655868	1020029	1345896	1085572	1354033	1277951	1510509	926863	1187284	2097194	1052821	1117562	1354279	1144975	927452	1188973	1494333	2011941	1365410	2072269	2557140	2173463
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)"	959791	762690	772955	859939	998352	1039690	955279	615112	526463	921368	738856	899135	543711	842641	1044398	1254438	693918	881054	723830	965131	818506	1556359	833808	1011923	592439	1030227	634358	1007404	1236217	1114291	1624686	1799513	1243014	1044745	943722	1860327	1291365	1711154	1310940	1340027	904667	1513694	1569073	1922282	1065514	1871070	2097502	1945489
"sphingomyelin (d18:1/18:1, d18:2/18:0)"	592639	448987	444485	486573	569390	607592	613864	385820	344078	526956	444899	515138	411144	500978	559520	702199	527597	543685	466956	522569	527955	896424	410474	595057	357915	551898	439953	518820	729760	676308	817101	865279	764066	556883	696900	1124771	792829	914035	659704	767607	598967	834731	827211	1078494	855329	1097506	1292967	1490806
"sphingomyelin (d18:1/20:0, d16:1/22:0)*"	335144	219447	320783	487379	381446	487023	513126	236673	140088	365652	311139	536030	126455	225315	219694	361704	138386	205987	141565	244881	156224	550564	248253	258295	116422	368554	107668	215500	454955	577064	308590	312418	244894	265618	147321	467908	351589	431612	159650	321607	146899	373573	285744	418870	244315	430846	487919	583867
"sphingomyelin (d18:1/20:1, d18:2/20:0)*"	126932	106745	82605	176689	162723	193734	184640	101272	101635	128021	134262	164158	56472	91020	92484	134274	65363	110232	75698	132376	104143	230134	100645	114049	45994	130352	NA	101918	171587	206106	96347	122703	110597	76761	70109	141975	125214	173890	99289	137625	54385	153257	165116	223129	95299	139325	233708	287025
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*"	808066	598278	NA	1018297	837353	1119062	1049178	734397	386034	836542	665945	1172876	372954	567536	606422	799197	356422	560576	409384	596425	958120	1180879	614491	643238	293242	793664	351751	557814	1005197	1357381	695313	535918	674192	439423	349659	799970	779461	928963	218561	833443	404857	948235	750425	1154091	523340	877358	1139526	1336411
"sphingomyelin (d18:1/24:1, d18:2/24:0)*"	4516428	2476542	3154871	4991696	4413753	5560332	5240407	3295206	1812764	4574925	3268139	5618630	2461387	3312315	3148807	5203686	2153921	3203930	2259305	2906501	3936427	6871791	3417208	3880978	2060527	3975388	1871857	2994263	5318108	7253371	4098762	4405777	3380409	3169471	2524654	5882700	4069452	5150112	2356793	4593201	2507170	5065786	3723963	4910652	3439603	5094497	5433478	6212180
"sphingomyelin (d18:2/16:0, d18:1/16:1)*"	1969243	1898677	1795304	1875184	2103595	2226987	2283574	1468212	1651251	1934431	1881865	1783583	2092603	2520293	2614788	2785830	2683255	2404482	2153447	1960413	2393433	3263677	2234173	2952087	1997356	2675054	2008760	2566023	2916631	2440862	3186068	3180912	3747463	2656369	3714710	5217432	2528794	3041248	3442720	2549687	2307130	3040834	3839391	4154906	3992820	5255626	4876496	5138536
"sphingomyelin (d18:2/24:1, d18:1/24:2)*"	1273864	959451	972961	1614443	1431020	1279121	1675997	1050090	802056	1302150	1158820	1863968	598119	1040308	932856	1923365	552076	942362	712934	1213331	1245296	2326109	987128	1098471	700742	1276093	637128	1208317	2031876	2353332	872599	1339502	952150	761870	690979	804003	1535421	1704491	885366	1567967	565999	1414586	1071711	1628954	971945	1119145	1651112	1730511
"sphingosine"	2637378	3069283	2289846	2843650	2464594	2772001	2810701	2502538	2344661	3041880	2709509	3037234	2136172	2107898	1884097	2662697	2233160	2429131	1223331	1369923	1882371	2166151	2538401	2724883	2496460	2731009	2090922	2928853	3880068	3538550	2118724	2539346	2807348	1732610	2881973	3202030	3728809	3812186	3104891	3408113	4287526	3958126	4570904	3917836	5486400	5885455	7014189	6279313
"stachydrine"	161657	256121	146433	84802	131081	101618	230146	251172	268458	312185	125058	114514	169993	235631	220848	308318	231598	239927	245427	NA	524838	189421	373078	NA	282435	133422	223947	91446	237814	218637	318608	254979	278760	NA	1984682	3217807	290148	248968	160492	237522	213089	NA	21915352	NA	409122	257701	290697	454445
"stearoyl ethanolamide"	264097	229266	851575	341903	249621	1577799	249921	252866	232283	2128354	253589	1227088	1002812	3815441	256190	263085	257991	291910	266130	228339	1234118	2521559	1472862	357836	297528	1895696	298052	291013	288607	1613695	2716198	300080	2156713	338802	4620612	369333	291847	3996443	306923	301630	319074	4100832	469626	424262	433972	2681287	498563	950979
"stearoyl sphingomyelin (d18:1/18:0)"	2169639	1534092	1735929	2274566	2104567	2645480	2472189	1307495	1226887	2273343	1694637	2111317	963826	1499785	1611043	2483911	1109740	1497472	1424795	1749723	1663166	3039149	1500008	2053963	1120202	2323336	1003897	1763724	2505371	2934798	2611996	2805860	2427942	1774810	1752113	3664806	2739731	3210995	2048823	2726173	1527448	3599300	2675127	3842164	2022985	3065691	3544385	4642239
"stearoylcarnitine"	1660289	2088977	1353319	1272607	1602613	1411905	2536992	2528008	1809934	2031724	1655171	1571624	1356464	1230806	757501	703947	1096013	821226	627848	556527	608693	731961	734693	764373	1517086	1593399	1517624	1551396	2148720	1897848	669446	600566	684459	447922	780966	796905	1526826	1415611	1371248	1059390	1119684	1145921	718015	817150	917912	931866	831850	877485
"succinate"	13823104	16004637	14130049	13628209	14301864	13965396	11300651	14248975	16831484	11286104	17492196	12572470	17358112	18704844	15120460	14003912	13615831	17703812	11877031	12290875	16533126	16189850	21925460	19765578	10949009	13157282	16341747	9727669	17180872	14702707	21345036	20465320	24707692	14950732	28126526	26721196	24480136	24773996	18607570	16388280	25117860	17705872	27469610	25525772	28171080	30417256	43149236	30592838
"succinylcarnitine"	99464	164195	154880	99742	78748	113639	174872	180173	150148	110014	103076	82069	297497	361937	194578	361364	252243	384995	117323	184519	379165	181264	445145	195423	275042	108698	194470	107314	151831	304631	276469	343291	245965	161028	244845	245488	326078	262975	236592	327973	177613	188082	526212	250499	831377	481232	508771	739270
"sulfate*"	10505633	17096756	19122706	9395453	NA	21578512	3817047	9177675	18679732	8855903	4249119	25081768	7995397	17889924	19003004	3268637	1154430	22419684	5431954	6426151	26618816	5834178	10823094	23606738	8945718	1028367	26976300	9974428	21245196	20339376	9604510	12459358	22000952	2586082	3835759	22997116	8335319	5881270	19120624	9702874	20450742	24411304	3212523	6464926	27795816	4399769	26491414	28147046
"taurine"	7498981	6674463	7228159	7695633	6617053	6623462	8233671	7362681	6899159	7830687	6303972	6559804	10127245	11351689	11078825	11733753	9446010	10132694	7529063	7683974	11473805	12549646	12093651	10808535	9592759	10240614	8613368	8564106	10177181	10680294	12590823	11930274	14021541	11136165	12851454	15759710	11087789	9579759	9095506	9628834	9856682	9974465	17199342	17519164	20660030	22241604	21854528	22216428
"thiamin (Vitamin B1)"	923569	1087714	1159383	868095	913110	944133	1111901	1279722	1236543	710165	1077818	954494	1697928	2247846	1495043	2392421	1343759	1961151	1123342	1364586	2519884	1270685	2530651	1561000	2006528	1192522	1405174	785856	1111712	1802953	2041775	2470508	2050128	1031151	2129618	2304349	1693521	1387572	1170780	1685931	1098115	895007	2726020	2026595	4162684	2707746	3083547	3894774
"thiamin diphosphate"	50281	47714	48145	49129	43455	43905	54236	46771	42456	51352	48400	44100	94127	92803	89042	87536	75297	77192	58253	62999	86071	81990	85256	87671	68820	66758	75424	62139	76927	68766	106027	109977	125242	73319	110373	128284	89102	76321	93950	80814	83369	75240	142444	112128	163032	169890	176043	185797
"thioproline"	1972702	5120319	4589775	4302478	4914542	3415502	5186776	5210212	3848251	1970665	12770972	2585625	5624038	3974410	2568805	3767891	3573421	3735589	3017931	3993678	4791351	3197711	7196173	2870762	3420282	2285110	2597106	2069219	3487388	3058276	3960761	2628973	3353440	2902468	8608092	4828044	4996254	4473814	4817181	3531477	6210677	3069639	7938648	6066138	6773409	9082454	8048182	5543781
"threonine"	6214249	8110990	9906011	6419371	6117597	6971210	8494889	7115774	8538259	5955855	11161859	8266429	10156652	10195455	11832968	14384264	10257349	11832472	5562567	6707643	11162736	10015554	12838437	11384292	8224755	7322017	8446210	6031197	8283569	8182380	10053758	10832310	11436675	6239321	14690561	14361349	9669978	8583249	9405287	9340158	11735626	9583598	17113686	12734136	26386252	18841706	29558218	24486746
"tiglylcarnitine"	193179	325053	268405	152685	163414	146281	352308	365330	233337	166342	185520	131130	310115	387811	165787	430856	210972	345797	NA	173688	345622	131372	392345	192968	366844	159880	206374	163912	214955	279612	252902	354026	220759	127763	275093	272347	445929	282047	179461	299217	143259	221231	450897	289393	881136	385691	558138	773786
"trans-4-hydroxyproline"	30230262	54405784	51924016	35103976	46613560	47580952	47931428	53311660	55472256	29428908	35791544	36961252	59900356	52585664	33433974	58147420	43590432	54653120	28211154	44088632	68499360	48948368	75454480	40475340	41147280	26941368	36390448	27823042	33652604	57034124	49402980	58253160	59657316	44800900	75424248	53971304	64089556	58671404	39135636	47136576	54417776	50000896	93415168	50962988	93982176	94549936	85846704	102233376
"tricosanoyl sphingomyelin (d18:1/23:0)*"	NA	NA	NA	108244	NA	NA	100692	NA	NA	NA	NA	NA	NA	60045	NA	124540	NA	NA	NA	NA	241220	138726	74575	70600	NA	96712	NA	NA	55612	99460	NA	NA	50641	48918	NA	NA	46085	70970	NA	35358	NA	72524	105859	86296	NA	192556	198051	182818
"tricosenoate (23:1)"	NA	NA	NA	66410	49645	72460	72754	50628	40420	NA	NA	NA	64670	32096	50574	NA	NA	NA	NA	NA	77676	NA	NA	NA	58312	NA	62971	NA	NA	147097	67631	105974	201112	84986	124243	151979	174712	183365	118908	140279	128626	172461	141049	315728	247203	222435	326214	337525
"trigonelline (N'-methylnicotinate)"	320068	751782	418282	244849	476060	339566	652367	811934	598682	407677	703797	252765	781521	499063	412760	353542	528136	330325	497676	382191	572475	318039	810821	271797	820651	456146	608161	326382	637220	389815	507589	635841	776367	346558	822008	385468	706520	344808	702630	419663	886130	392311	907030	411569	673325	562253	773171	484710
"trizma acetate"	504514	1226418	860300	741906	1288168	1278130	758124	24618612	32500204	812747	945963	900377	788984	1588314	432296	1697490	840668	840850	1053407	754865	863925	612593	488696	484306	1173873	1095925	98050880	1371917	425915	602104	1442097	592385	NA	508174	478360	492560	514334	2259335	838672	906486	1604481	1609685	919890	383035	499373	382845	NA	391373
"tryptophan"	2037404	2648535	3162149	2503533	2263043	2347569	2916192	3192067	2978585	1483152	2921018	2344787	3629665	4689443	4115742	5181146	3488531	5156444	2150203	2537674	5164460	2140108	5850139	3475528	4472862	2933683	3839091	1929933	2763199	4514961	3547040	4314996	4335895	1972248	4822893	5044225	4473328	3364551	3787386	3980633	4175601	2767686	6259367	4635624	10031656	6682319	8538785	8742176
"tyrosine"	5698369	4493419	5200258	5130954	4791871	4868018	6119101	4380748	5115956	5151904	9473233	4638366	7340347	8029664	9930942	9720556	8754285	9187673	5424371	4589174	7148945	6217266	8324312	8907563	7141622	6736219	6926764	5984880	7269461	6370588	8100387	8248597	8882529	5507736	10744325	13087663	5651813	5962733	8732354	7460733	8165775	7393754	13436295	11556719	19222840	17516760	18903412	17785894
"UDP-galactose"	NA	334500	279525	52064	251998	380222	NA	289298	359116	NA	235001	254140	NA	559033	377384	32828	204152	732344	NA	235946	577122	NA	657708	717926	NA	432821	334715	NA	338281	367503	285784	772789	953055	202954	594237	1232981	NA	464364	471860	139333	489266	762771	231461	1146858	1386887	233316	1173401	1178371
"UDP-glucose"	280504	1033773	1359345	583696	810955	2037466	NA	849182	1875644	NA	764604	1235634	339032	1800658	2662374	968895	747323	3859005	NA	985841	2425228	215753	2056626	3445977	790917	1181586	1650260	195894	1284070	1916659	1912125	2198116	3803804	1429367	1737037	4133769	454455	1599257	2037196	1169786	1607413	3267117	2054968	3195202	8230477	2115313	3965326	5597371
"UDP-glucuronate"	533198	542522	408754	385367	431770	363665	474072	524435	384552	438176	293459	338942	782814	867142	623378	795418	639230	749890	381531	423316	706276	594620	745301	707185	435631	499905	525624	369760	522845	580610	1008539	1019715	1336311	887710	1133160	1349233	850348	863696	713097	764310	723865	795390	1418789	1298121	1633523	1869246	1776343	1707869
"UDP-N-acetylglucosamine"	3212545	6639161	6132825	4425308	5866761	6364487	2707492	5599393	6171918	2334197	5892733	6427103	3133923	10221529	9899222	6111248	7236130	10596699	1815348	6607741	9911934	3743297	14201688	11513143	5516156	8187097	7731624	3140609	8321157	7506760	12508063	14694790	19950524	7630774	16038431	22047514	4787952	10743518	11377027	8628689	11771143	10930580	12304261	19721082	23714268	11480063	30410034	26578056
"urate"	170072	114978	140068	152168	135531	108115	178881	90242	178013	118958	197487	151674	124283	140481	163866	115587	123808	129561	120314	125049	108304	129450	155901	115593	157505	107909	120533	134452	196254	175428	130687	193811	153866	128817	179854	183565	128253	146061	152404	155502	161962	222168	240138	155840	309932	325030	326211	251823
"uridine"	167483	131769	267910	183725	153233	326781	254838	234968	371786	306501	363350	412662	442528	316215	433184	255132	358243	533611	188448	117934	412217	280071	303016	551082	380343	370046	583945	386262	258144	597450	429540	339410	875182	292823	530418	968934	482066	304507	795191	409284	380584	424727	1318305	656766	1307034	1155104	1080044	1611766
"uridine 5'-diphosphate (UDP)"	1091166	929954	1149681	1016251	887670	978248	857792	869287	1083975	926088	954026	999565	1477745	1699011	1618929	1509948	1625518	1754459	1270537	1126404	1838504	1535556	2030305	1966996	1029739	995463	1045238	1045661	853293	1083185	2325007	2600573	3228918	2054228	2782325	3175142	1690143	1660818	2081553	1739069	1349080	1631990	2988318	2945663	3409494	3642767	3336544	3871726
"uridine 5'-monophosphate (UMP)"	NA	151181	235237	158222	253915	488284	NA	171705	143817	NA	NA	388861	NA	732606	562289	316356	431372	1449572	NA	421633	566787	NA	986172	484344	124780	280891	531257	NA	228350	275639	732615	526776	1722357	132953	1102077	1214623	NA	443987	1021609	406237	562150	564644	977834	606766	2122773	456469	1555596	779692
"uridine 5'-triphosphate (UTP)"	2139219	1828449	1743416	2154023	1784878	1600999	1982209	1421708	1467371	1698197	2491376	1603987	2494522	3148777	2531996	2925062	2710940	2789727	2181890	2220646	3112847	3052329	3808135	3011523	1855554	2017535	1694432	1761739	1983442	1841848	4319640	4338480	5623349	4610444	4607166	5660198	3387980	3204193	3012386	3242289	3133353	3069659	5198904	5971282	6693152	7384493	6817669	7762493
"valine"	16878096	6542123	9628329	9091876	22138472	20574004	13552919	7347488	9371074	14022874	21920196	10178122	13081291	10565976	18877276	12348162	20200030	11352415	14122397	6116393	10628282	12164561	11958164	20146728	14620150	17318344	16540794	17692944	18053560	11336584	11470508	11291801	20335144	12500431	21510004	25218778	10230451	9235303	21649494	11732047	16103733	18837320	15945435	22318204	22180308	31863210	27550832	24176296
"xanthine"	86910	NA	146829	193011	183551	141392	142118	NA	143878	149580	822727	198096	NA	NA	219718	205147	NA	NA	64829	45260	103138	78560	147625	159469	185969	192032	157600	127597	162372	120453	106277	71087	47692	NA	326616	216891	206260	63317	182250	144949	292382	187288	73095	38317	148078	198576	378000	293014
"xanthosine"	21940	32092	NA	22929	23013	22910	46580	48048	47350	35856	37680	18950	32030	30380	NA	NA	NA	27560	NA	NA	NA	NA	26752	NA	29802	21196	NA	14383	27613	NA	60593	89277	NA	NA	26897	23834	NA	NA	19354	28132	NA	NA	105569	45100	85044	38345	38501	79434
